"nim","nama","prodi","kabupaten","provinsi","penghasilan_ayah","Prestasi yang pernah saudara/i raih ?","Apa yang membuat saudara/ i tertarik kuliah di Universitas Nurul Jadid ?","Siapa yang memotivasi saudara/ i hingga akhirnya memilih kuliah di Universitas Nurul Jadid ?","prestasi_terkini"
"2112670027","mahasiswa 27","IQT","KAB. PAMEKASAN","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2112770028","mahasiswa 28","IQT","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2112870029","mahasiswa 29","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2112970030","mahasiswa 30","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2113070031","mahasiswa 31","IQT","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2113170032","mahasiswa 32","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2113270033","mahasiswa 33","IQT","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2113370034","mahasiswa 34","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2113470035","mahasiswa 35","IQT","KAB. MALANG","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2113570036","mahasiswa 36","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2113670037","mahasiswa 37","IQT","KAB. BONDOWOSO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2113770038","mahasiswa 38","IQT","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Lainnya","Kesadaran diri sendiri","1"
"2113870039","mahasiswa 39","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2113970040","mahasiswa 40","IQT","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2114070041","mahasiswa 41","IQT","KAB. SUMENEP","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114170042","mahasiswa 42","IQT","KAB. BANYUWANGI","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114270043","mahasiswa 43","IQT","KAB. SAMPANG","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114370044","mahasiswa 44","IQT","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114470045","mahasiswa 45","IQT","KAB. SUMENEP","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2114570046","mahasiswa 46","IQT","KAB. BONDOWOSO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114670047","mahasiswa 47","IQT","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114770048","mahasiswa 48","IQT","KAB. PROBOLINGGO","Jawa Timur","","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2114870049","mahasiswa 49","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2114970050","mahasiswa 50","IQT","KAB. GRESIK","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2115070051","mahasiswa 51","IQT","KOTA PALANGKARAYA","Kalimantan Tengah","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2115170052","mahasiswa 52","IQT","KAB. BANYUWANGI","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2115270053","mahasiswa 53","IQT","KAB. BANYUWANGI","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Lainnya","Kesadaran diri sendiri","0"
"2115370054","mahasiswa 54","IQT","KAB. SUMENEP","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2115470055","mahasiswa 55","IQT","KAB. BANYUWANGI","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2115570056","mahasiswa 56","IQT","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Dekat dari rumah","Orang tua/ kerabat","0"
"2115670057","mahasiswa 57","IQT","KAB. SITUBONDO","Jawa Timur","","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2115770058","mahasiswa 58","IQT","KAB. LUMAJANG","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Dipaksa orang tua","Kesadaran diri sendiri","1"
"2115870059","mahasiswa 59","IQT","KAB. BONDOWOSO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2115970060","mahasiswa 60","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2116070061","mahasiswa 61","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2116170062","mahasiswa 62","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2116270063","mahasiswa 63","IQT","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2116370064","mahasiswa 64","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2116470065","mahasiswa 65","IQT","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2116570066","mahasiswa 66","IQT","KAB. JEMBRANA","Bali","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2116670067","mahasiswa 67","IQT","KAB. JEMBER","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2116770068","mahasiswa 68","IQT","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2116870069","mahasiswa 69","IQT","KOTA PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Lainnya","0"
"2116970070","mahasiswa 70","IQT","KAB. LAMONGAN","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2117070071","mahasiswa 71","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2117170072","mahasiswa 72","IQT","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2117270073","mahasiswa 73","IQT","KOTA ADM. JAKARTA UTARA","DKI Jakarta","Rp. 5.000.000 s/d Rp. 20.000.000","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2117370074","mahasiswa 74","HK (AS)","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Dekat dari rumah","Orang tua/ kerabat","1"
"2117470075","mahasiswa 75","HK (AS)","KAB. BANJAR","Kalimantan Selatan","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2117570076","mahasiswa 76","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2117670077","mahasiswa 77","HK (AS)","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2117770078","mahasiswa 78","HK (AS)","KAB. BONDOWOSO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2117870079","mahasiswa 79","HK (AS)","KAB. PROBOLINGGO","Jawa Timur","Rp. 5.000.000 s/d Rp. 20.000.000","Juara di sekolah","Dipaksa orang tua","Orang tua/ kerabat","1"
"2117970080","mahasiswa 80","HK (AS)","KOTA PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2118070081","mahasiswa 81","HK (AS)","KAB. PANGKAJENE KEPULAUAN","Sulawesi Selatan","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2118170082","mahasiswa 82","HK (AS)","KOTA PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2118270083","mahasiswa 83","HK (AS)","KAB. JEMBRANA","Bali","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2118370084","mahasiswa 84","HK (AS)","KAB. KOTAWARINGIN TIMUR","Kalimantan Tengah","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2118470085","mahasiswa 85","HK (AS)","KAB. JEMBER","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2118570086","mahasiswa 86","HK (AS)","KAB. JEMBRANA","Bali","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2118670087","mahasiswa 87","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2118770088","mahasiswa 88","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2118870089","mahasiswa 89","HK (AS)","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2118970090","mahasiswa 90","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2119070091","mahasiswa 91","HK (AS)","KAB. BANYUWANGI","Jawa Timur","Rp. 5.000.000 s/d Rp. 20.000.000","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2119170092","mahasiswa 92","HK (AS)","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Fasilitas bagus","Kesadaran diri sendiri","1"
"2119270093","mahasiswa 93","HK (AS)","","","","Lainnya","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2119370094","mahasiswa 94","HK (AS)","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2119470095","mahasiswa 95","HK (AS)","KAB. SUMENEP","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2119570096","mahasiswa 96","HK (AS)","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2119670097","mahasiswa 97","HK (AS)","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2119770098","mahasiswa 98","HK (AS)","KAB. PAMEKASAN","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2119870099","mahasiswa 99","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2119970100","mahasiswa 100","HK (AS)","KAB. SIAK","Riau","Rp. 5.000.000 s/d Rp. 20.000.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2120070101","mahasiswa 101","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2120170102","mahasiswa 102","HK (AS)","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2120270103","mahasiswa 103","HK (AS)","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2120370104","mahasiswa 104","HK (AS)","KAB. SUMENEP","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Teman sekolah","0"
"2120470105","mahasiswa 105","HK (AS)","KAB. TRENGGALEK","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2120570106","mahasiswa 106","HK (AS)","KAB. BADUNG","Bali","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2120670107","mahasiswa 107","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Dekat dari rumah","Orang tua/ kerabat","0"
"2120770108","mahasiswa 108","ES","KAB. SITUBONDO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2120870109","mahasiswa 109","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Lainnya","Dekat dari rumah","Kesadaran diri sendiri","0"
"2120970110","mahasiswa 110","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2121070111","mahasiswa 111","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2121170112","mahasiswa 112","ES","KAB. SUMENEP","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2121270113","mahasiswa 113","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2121370114","mahasiswa 114","ES","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2121470115","mahasiswa 115","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2121570116","mahasiswa 116","ES","KAB. JEMBER","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2121670117","mahasiswa 117","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2121770118","mahasiswa 118","ES","KAB. SITUBONDO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2121870119","mahasiswa 119","ES","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
"2121970120","mahasiswa 120","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Dekat dari rumah","Orang tua/ kerabat","0"
"2122070121","mahasiswa 121","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Fasilitas bagus","Orang tua/ kerabat","0"
"2122170122","mahasiswa 122","ES","KAB. BANYUWANGI","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2122270123","mahasiswa 123","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2122370124","mahasiswa 124","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2122470125","mahasiswa 125","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Orang tua/ kerabat","0"
"2122570126","mahasiswa 126","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2122670127","mahasiswa 127","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2122770128","mahasiswa 128","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Lainnya","Dekat dari rumah","Kesadaran diri sendiri","0"
"2122870129","mahasiswa 129","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2122970130","mahasiswa 130","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Ada saudara/ teman yang kuliah di UNUJA","Kesadaran diri sendiri","0"
"2123070131","mahasiswa 131","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di sekolah","Kampus berbasis pesantren","Orang tua/ kerabat","1"
"2123170132","mahasiswa 132","ES","KAB. SITUBONDO","Jawa Timur","Rp. 2.000.000 s/d Rp. 4.999.999","Juara di luar sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2123270133","mahasiswa 133","ES","KAB. PROBOLINGGO","Jawa Timur","Kurang dari Rp. 500.000","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2123370134","mahasiswa 134","ES","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Tidak pernah meraih prestasi","Kampus berbasis pesantren","Orang tua/ kerabat","0"
"2123470135","mahasiswa 135","ES","KAB. SUMENEP","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Kesadaran diri sendiri","1"
"2123570136","mahasiswa 136","ES","KAB. PROBOLINGGO","Jawa Timur","Rp. 1.000.000 s/d Rp. 1.999.999","Juara di sekolah","Kampus berbasis pesantren","Guru di sekolah","1"
"2123670137","mahasiswa 137","ES","KAB. BONDOWOSO","Jawa Timur","Rp. 500.001 s/d Rp. 999.999","Lainnya","Kampus berbasis pesantren","Kesadaran diri sendiri","0"
